,year,population,gdp,electricity_generation,primary_energy_consumption,renewables_electricity
0,2000,,,368.08,,72.77
1,2001,,,396.6,,76.55
2,2002,,,423.11,,75.86
3,2003,,,447.7,,75.53
4,2004,,,485.55,,76.92
5,2005,,,511.05,,78.16
6,2006,,,535.42,,85.26
7,2007,,,564.3,,89.79
8,2008,,,590.38,,98.57
9,2009,,,611.38,,103.22
10,2010,,,672.58,,110.91
11,2011,,,707.38,,133.49
12,2012,,,761.41,,151.09
13,2013,,,805.54,,164.43
14,2014,,,849.74,,170.83
15,2015,,,888.29,,166.28
16,2016,,,959.66,,193.83
17,2017,,,1005.46,,237.43
18,2018,,,1064.03,,252.31
19,2019,,,1117.14,,236.04
20,2020,,,1105.12,,262.67
21,2021,,,1153.07,,289.43
22,2022,,,1217.05,,336.62
23,1900,4707744.0,,,,
24,1901,4751177.0,,,,
25,1902,4802500.0,,,,
26,1903,4861833.0,,,,
27,1904,4921891.0,,,,
28,1905,4982681.0,,,,
29,1906,5044212.0,,,,
30,1907,5106495.0,,,,
31,1908,5169536.0,,,,
32,1909,5300178.0,,,,
33,1910,5504191.0,,,,
34,1911,5787792.0,,,,
35,1912,6157669.0,,,,
36,1913,6621025.0,,,,
37,1914,7119235.0,,,,
38,1915,7654918.0,,,,
39,1916,8230894.0,,,,
40,1917,8850190.0,,,,
41,1918,9529174.0,,,,
42,1919,9976355.0,,,,
43,1920,10188845.0,,,,
44,1921,10162753.0,,,,
45,1922,9893152.0,,,,
46,1923,9374030.0,,,,
47,1924,8882148.0,,,,
48,1925,8416077.0,,,,
49,1926,7974462.0,,,,
50,1927,7556019.0,,,,
51,1928,7159534.0,,,,
52,1929,6851115.0,,,,
53,1930,6626142.0,,,,
54,1931,6480237.0,,,,
55,1932,6409250.0,,,,
56,1933,6409250.0,,,,
57,1934,6409250.0,,,,
58,1935,6409250.0,,,,
59,1936,6409250.0,,,,
60,1937,6409250.0,,,,
61,1938,6409250.0,,,,
62,1939,6428903.0,,,,
63,1940,6468510.0,,,,
64,1941,6528377.0,,,,
65,1942,6608815.0,,,,
66,1943,6710138.0,,,,
67,1944,6813016.0,,,,
68,1945,6917471.0,,,,
69,1946,7023527.0,,,,
70,1947,7131209.0,,,,
71,1948,7240542.0,,,,
72,1949,7356890.0,,,,
73,1950,7480464.0,9421400064.0,,,
74,1951,7571542.0,9692279808.0,,,
75,1952,7667534.0,10017325056.0,,,
76,1953,7764549.0,10630519808.0,,,
77,1954,7864289.0,10866360320.0,,,
78,1955,7971933.0,11078185984.0,,,
79,1956,8087730.0,11581236224.0,,,
80,1957,8210207.0,11578973184.0,,,
81,1958,8333827.0,12238841856.0,,,
82,1959,8468220.0,12579874816.0,,,
83,1960,8622473.0,13033253888.0,,,
84,1961,8790140.0,13146287104.0,,,
85,1962,8969055.0,13367633920.0,,,
86,1963,9157463.0,13630298112.0,,,
87,1964,9355510.0,13870503936.0,,,
88,1965,9565154.0,14187419648.0,,,
89,1966,9783153.0,14325264384.0,,,
90,1967,10010037.0,14734025728.0,,,
91,1968,10247782.0,15254250496.0,,,
92,1969,10494491.0,15493193728.0,,,
93,1970,10752973.0,15812232192.0,,,
94,1971,11015853.0,15770513408.0,,,
95,1972,11286753.0,13170552832.0,,,
96,1973,11575308.0,13568630784.0,,,
97,1974,11869881.0,14309107712.0,,,
98,1975,12157390.0,15177767936.0,,,
99,1976,12425276.0,16023605248.0,,,
100,1977,12687308.0,15207360512.0,,,
101,1978,12938864.0,16337829888.0,,,
102,1979,12986378.0,15913788416.0,,,
103,1980,12486640.0,15329836032.0,,7.791,
104,1981,11155196.0,15645343744.0,,8.777,
105,1982,10088290.0,15980409856.0,,9.348,
106,1983,9951447.0,16755333120.0,,11.436,
107,1984,10243689.0,17072152576.0,,11.489,
108,1985,10512220.0,17108480000.0,,11.217,
109,1986,10448447.0,17641345024.0,,11.462,
110,1987,10322767.0,15810816000.0,,18.483,
111,1988,10383459.0,14499068928.0,,32.596,
112,1989,10673172.0,13489497088.0,,32.052,
113,1990,10694804.0,13065984000.0,,31.746,
114,1991,10745168.0,12047362048.0,,13.903,
115,1992,12057436.0,12677538816.0,,9.168,
116,1993,14003764.0,9834580992.0,,9.105,
117,1994,15455560.0,7919857152.0,,8.816,
118,1995,16418911.0,12307525632.0,,7.429,
119,1996,17106600.0,12070125568.0,,7.286,
120,1997,17788818.0,11850752000.0,,6.938,
121,1998,18493134.0,11692172288.0,,6.752,
122,1999,19262854.0,11517317120.0,,6.749,
123,2000,19542986.0,11283792896.0,0.47,5.914,0.31
124,2001,19688634.0,11021273088.0,0.59,4.664,0.5
125,2002,21000258.0,18804871168.0,0.69,4.428,0.56
126,2003,22645136.0,21074343936.0,0.94,5.208,0.63
127,2004,23553554.0,22332571648.0,0.89,4.81,0.56
128,2005,24411196.0,25397688320.0,0.93,6.153,0.59
129,2006,25442946.0,28704401408.0,0.84,7.745,0.64
130,2007,25903306.0,34507530240.0,0.95,9.177,0.75
131,2008,26427204.0,36561043456.0,0.73,16.063,0.54
132,2009,27385310.0,44358721536.0,0.94,26.702,0.78
133,2010,28189672.0,47399424000.0,0.94,33.345,0.75
