year,population,gdp,electricity_generation,primary_energy_consumption,renewables_electricity
2000,19542986.0,11283792896.0,0.47,5.914,0.31
2001,19688634.0,11021273088.0,0.59,4.664,0.5
2002,21000258.0,18804871168.0,0.69,4.428,0.56
2003,22645136.0,21074343936.0,0.94,5.208,0.63
2004,23553554.0,22332571648.0,0.89,4.81,0.56
2005,24411196.0,25397688320.0,0.93,6.153,0.59
2006,25442946.0,28704401408.0,0.84,7.745,0.64
2007,25903306.0,34507530240.0,0.95,9.177,0.75
2008,26427204.0,36561043456.0,0.73,16.063,0.54
2009,27385310.0,44358721536.0,0.94,26.702,0.78
2010,28189672.0,47399424000.0,0.94,33.345,0.75
2011,29249156.0,53326336000.0,0.78,42.005,0.6
2012,30466484.0,59166900224.0,0.88,40.341,0.74
2013,31541216.0,62993698816.0,1.11,33.459,0.89
2014,32716214.0,64346107904.0,1.16,28.417,1.0
2015,33753500.0,62783393792.0,1.18,32.744,1.03
2016,34636212.0,64297426944.0,1.21,29.884,1.06
2017,35643420.0,68752801792.0,1.27,29.56,1.09
2018,36686788.0,67594969088.0,1.17,33.908,0.97
1990,3295073.0,12947849216.0,3.3,33.658,2.85
1991,3302087.0,9375844352.0,3.82,28.23,3.52
1992,3303738.0,8745680896.0,3.4,24.674,3.23
1993,3300715.0,9636359168.0,3.53,21.638,3.31
1994,3294001.0,10596127744.0,3.94,20.567,3.77
1995,3284370.0,11600734208.0,4.47,22.728,4.2
1996,3271336.0,12727380992.0,5.99,25.011,5.73
1997,3253721.0,11396507648.0,5.23,22.844,5.03
1998,3232185.0,12466707456.0,5.11,24.572,4.92
1999,3208265.0,14151858176.0,5.42,22.114,5.28
2000,3182027.0,15214264320.0,4.69,28.732,4.55
2001,3153615.0,16563844096.0,3.65,27.233,3.52
2002,3123554.0,17408065536.0,3.64,29.497,3.48
2003,3092993.0,18465497088.0,5.22,33.27,5.12
2004,3062629.0,19587880960.0,5.54,35.487,5.41
2005,3032636.0,20781076480.0,5.39,35.014,5.32
2006,3003391.0,22124285952.0,5.04,32.967,4.95
2007,2976089.0,23574646784.0,2.83,28.377,2.76
2008,2951690.0,25476937728.0,3.83,30.991,3.76
2009,2930553.0,26471389184.0,5.2,33.773,5.2
2010,2913402.0,27598268416.0,7.49,36.061,7.49
2011,2900660.0,28452651008.0,4.15,31.486,4.09
2012,2892191.0,28855377920.0,4.68,30.81,4.68
2013,2887019.0,29142642688.0,6.89,38.665,6.89
2014,2884100.0,29675640832.0,4.68,34.06,4.68
2015,2882482.0,30444531712.0,5.84,34.083,5.84
2016,2881064.0,31481821184.0,7.7,39.827,7.7
2017,2879361.0,32678760448.0,4.48,36.863,4.48
2018,2877019.0,34009112576.0,8.47,42.032,8.47
1990,25518074.0,117843181568.0,16.104,314.974,0.135
1991,26133906.0,121105154048.0,17.345,312.095,0.293
1992,26748302.0,127982673920.0,18.286,320.227,0.199
1993,27354326.0,130275762176.0,19.414,297.995,0.353
1994,27937006.0,134279872512.0,19.883,301.921,0.166
1995,28478024.0,145054695424.0,19.715,313.145,0.193
1996,28984640.0,156579102720.0,20.654,309.925,0.135
1997,29476030.0,164644454400.0,21.497,297.86,0.075
