year,population,gdp,electricity_generation,primary_energy_consumption,renewables_electricity,renewables_percentage
2000,19542986.0,11283792896.0,1.7956497824264646e-05,3.494990079488317e-05,4.6641580517661356e-05,65.95744680851064
2001,19688634.0,11021273088.0,2.254113556663009e-05,2.7205285302310227e-05,7.522835567364736e-05,84.74576271186442
2002,21000258.0,18804871168.0,2.636166701860129e-05,2.5743101897312457e-05,8.425575835448504e-05,81.15942028985509
2003,22645136.0,21074343936.0,3.591299564852929e-05,3.0575741964677975e-05,9.478772814879567e-05,67.02127659574468
2004,23553554.0,22332571648.0,3.4002729922543697e-05,2.8109856391842747e-05,8.425575835448504e-05,62.92134831460675
2005,24411196.0,25397688320.0,3.5530942503332175e-05,3.643067127706311e-05,8.876945969490388e-05,63.44086021505375
2006,25442946.0,28704401408.0,3.209246419655809e-05,4.629421356840402e-05,9.629229526226862e-05,76.1904761904762
2007,25903306.0,34507530240.0,3.6295048793726415e-05,5.516644507669557e-05,0.00011284253351047103,78.94736842105263
2008,26427204.0,36561043456.0,2.788987959938977e-05,9.782998290218139e-05,8.124662412753915e-05,73.97260273972603
2009,27385310.0,44358721536.0,3.591299564852929e-05,0.00016374595428256822,0.00011735623485088988,82.97872340425533
2010,28189672.0,47399424000.0,3.591299564852929e-05,0.0002049039388562978,0.00011284253351047103,79.7872340425532
2011,29249156.0,53326336000.0,2.9800145325375373e-05,0.0002585586349888432,9.027402680837682e-05,76.92307692307692
2012,30466484.0,59166900224.0,3.3620676777346573e-05,0.0002482490028451301,0.00011133796639699808,84.0909090909091
2013,31541216.0,62993698816.0,4.240789911688034e-05,0.0002056102477892205,0.00013390647309909228,80.18018018018017
2014,32716214.0,64346107904.0,4.431816484286593e-05,0.0001743715667383783,0.00015045671134729472,86.20689655172414
2015,33753500.0,62783393792.0,4.508227113326018e-05,0.00020118032772746875,0.00015497041268771355,87.28813559322035
2016,34636212.0,64297426944.0,4.6228430568851533e-05,0.0001834606474804619,0.0001594841140281324,87.60330578512398
2017,35643420.0,68752801792.0,4.852074944003426e-05,0.00018145324314478698,0.00016399781536855125,85.8267716535433
2018,36686788.0,67594969088.0,4.4700217988063055e-05,0.0002083921136741527,0.00014594301000687586,82.90598290598291
1990,3295073.0,12947849216.0,0.00012607753791504965,0.0002068431905756381,0.0004288016273397899,86.36363636363637
1991,3302087.0,9375844352.0,0.0001459443014652999,0.00017321297226068937,0.0005296076239424774,92.14659685863876
1992,3303738.0,8745680896.0,0.00012989806936702084,0.00015118109010741788,0.0004859751776517619,95.0
1993,3300715.0,9636359168.0,0.0001348647602545834,0.00013237096799905673,0.0004980117145595455,93.76770538243628
1994,3294001.0,10596127744.0,0.00015052893920766534,0.0001257353814450202,0.0005672218017793011,95.68527918781726
1995,3284370.0,11600734208.0,0.0001707777559031127,0.00013912427270858032,0.0006319181876586378,93.95973154362417
1996,3271336.0,12727380992.0,0.00022884983397307497,0.00015326903844421554,0.0008621169560199987,95.6594323873122
1997,3253721.0,11396507648.0,0.00019981379493809386,0.0001398429730262911,0.0007567972580768925,96.17590822179733
1998,3232185.0,12466707456.0,0.0001952291571957284,0.0001505491294832239,0.00074024701982869,96.28180039138942
