year,country,iso_code,biofuel_consumption,coal_consumption,fossil_fuel_consumption,gas_consumption,hydro_consumption,nuclear_consumption,oil_consumption,other_renewable_consumption,renewables_consumption,solar_consumption,wind_consumption,non_renewables_consumption,total_consumption,continents
1965,Algeria,DZA,0.0,0.814,23.65,7.431,1.183,0.0,15.405,0.0,1.183,0.0,0.0,47.3,48.483,Africa
1966,Algeria,DZA,0.0,0.791,28.783,7.719,1.05,0.0,20.273,0.0,1.05,0.0,0.0,57.566,58.616,Africa
1967,Algeria,DZA,0.0,0.605,27.035,7.488,1.212,0.0,18.942,0.0,1.212,0.0,0.0,54.07,55.282,Africa
1968,Algeria,DZA,0.0,0.64,28.68,7.873,1.665,0.0,20.167,0.0,1.665,0.0,0.0,57.36,59.025,Africa
1969,Algeria,DZA,0.0,0.814,32.472,10.352,1.067,0.0,21.306,0.0,1.067,0.0,0.0,64.944,66.011,Africa
1970,Algeria,DZA,0.0,0.965,35.044,9.731,1.715,0.0,24.348,0.0,1.715,0.0,0.0,70.088,71.803,Africa
1971,Algeria,DZA,0.0,0.267,38.757,11.049,0.976,0.0,27.44,0.0,0.976,0.0,0.0,77.513,78.489,Africa
1972,Algeria,DZA,0.0,0.233,43.184,12.83,1.464,0.0,30.121,0.0,1.464,0.0,0.0,86.368,87.832,Africa
1973,Algeria,DZA,0.0,0.267,51.027,17.859,2.224,0.0,32.9,0.0,2.224,0.0,0.0,102.053,104.277,Africa
1974,Algeria,DZA,0.0,0.221,57.439,20.674,1.47,0.0,36.544,0.0,1.47,0.0,0.0,114.878,116.348,Africa
1975,Algeria,DZA,0.0,0.279,69.4,28.49,0.97,0.0,40.631,0.0,0.97,0.0,0.0,138.8,139.77,Africa
1976,Algeria,DZA,0.0,0.547,80.952,33.688,1.15,0.0,46.718,0.0,1.15,0.0,0.0,161.905,163.055,Africa
1977,Algeria,DZA,0.0,0.709,89.417,35.901,0.795,0.0,52.806,0.0,0.795,0.0,0.0,178.833,179.628,Africa
1978,Algeria,DZA,0.0,0.361,112.622,57.654,0.739,0.0,54.608,0.0,0.739,0.0,0.0,225.245,225.984,Africa
1979,Algeria,DZA,0.0,0.837,147.68,81.524,0.86,0.0,65.319,0.0,0.86,0.0,0.0,295.36,296.22,Africa
1980,Algeria,DZA,0.0,0.744,176.383,109.436,0.76,0.0,66.202,0.0,0.76,0.0,0.0,352.765,353.525,Africa
1981,Algeria,DZA,0.0,0.523,214.104,142.257,1.082,0.0,71.323,0.0,1.082,0.0,0.0,428.207,429.289,Africa
1982,Algeria,DZA,0.0,9.711,246.696,161.411,1.416,0.0,75.573,0.0,1.416,0.0,0.0,493.391,494.807,Africa
1983,Algeria,DZA,0.0,8.664,270.272,176.715,0.695,0.0,84.892,0.0,0.695,0.0,0.0,540.543,541.238,Africa
1984,Algeria,DZA,0.0,9.606,258.86,155.251,1.337,0.0,94.002,0.0,1.337,0.0,0.0,517.719,519.056,Africa
1985,Algeria,DZA,0.0,10.025,260.386,153.807,1.91,0.0,96.554,0.0,1.91,0.0,0.0,520.772,522.682,Africa
1986,Algeria,DZA,0.0,10.293,276.751,168.437,0.739,0.0,98.021,0.0,0.739,0.0,0.0,553.502,554.241,Africa
1987,Algeria,DZA,0.0,12.305,283.693,172.288,1.476,0.0,99.101,0.0,1.476,0.0,0.0,567.387,568.863,Africa
1988,Algeria,DZA,0.0,11.572,304.881,194.136,0.541,0.0,99.173,0.0,0.541,0.0,0.0,609.762,610.303,Africa
1989,Algeria,DZA,0.0,9.781,296.4,182.683,0.668,0.0,103.937,0.0,0.668,0.0,0.0,592.801,593.469,Africa
1990,Algeria,DZA,0.0,7.664,314.575,195.099,0.399,0.0,111.812,0.0,0.399,0.0,0.0,629.15,629.549,Africa
1991,Algeria,DZA,0.0,7.908,311.229,192.692,0.866,0.0,110.628,0.0,0.866,0.0,0.0,622.457,623.323,Africa
1992,Algeria,DZA,0.0,9.397,319.638,198.949,0.588,0.0,111.293,0.0,0.588,0.0,0.0,639.277,639.865,Africa
1993,Algeria,DZA,0.0,7.653,296.951,178.544,1.044,0.0,110.755,0.0,1.044,0.0,0.0,593.903,594.947,Africa
